entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
12,40,8,14,485,0,66.39,0.050,7.960,279,38,168,43,125,34.6,1
12,40,10,3,485,0,57.53,-0.613,1.216,166,39,280,113,167,57.7,1
12,40,10,7,485,0,60.62,-0.658,3.601,210,45,230,84,146,47.4,1
12,40,10,14,485,0,63.09,-0.221,9.960,247,49,189,59,130,39.0,1
12,40,15,3,485,0,53.40,-0.874,0.397,118,48,319,141,178,65.8,0
12,40,15,7,485,0,56.29,-1.029,1.887,156,59,270,117,153,55.7,0
12,40,15,14,485,0,57.53,-0.588,3.287,180,64,241,99,142,49.7,0
12,40,20,3,485,0,51.55,-1.073,0.202,91,56,338,159,179,69.7,0
12,40,20,7,485,0,53.20,-1.460,0.876,117,68,300,141,159,61.9,0
12,40,20,14,485,0,53.81,-0.812,1.103,140,74,271,121,150,55.9,0
12,40,30,3,485,0,50.10,-0.799,0.022,53,59,373,190,183,76.9,0
12,40,30,7,485,0,50.93,-1.063,0.332,83,76,326,164,162,67.2,0
12,40,30,14,485,0,51.55,-0.106,0.232,101,83,301,149,152,62.1,0
12,50,3,3,485,0,70.10,-0.738,2.960,300,16,169,40,129,34.8,1
12,50,3,7,485,0,75.88,-0.785,2.960,354,18,113,14,99,23.3,1
12,50,3,14,485,0,79.18,-0.564,2.960,378,18,89,6,83,18.4,1
12,50,5,3,485,0,65.36,-0.522,4.960,246,20,219,71,148,45.2,1
12,50,5,7,485,0,70.31,-0.525,4.960,306,22,157,35,122,32.4,1
12,50,5,14,485,0,73.61,-0.191,4.960,340,24,121,17,104,24.9,1
12,50,8,3,485,0,60.62,-0.404,1.863,195,25,265,99,166,54.6,1
12,50,8,7,485,0,64.54,-0.468,7.960,250,29,206,63,143,42.5,1
12,50,8,14,485,0,67.22,-0.159,7.960,283,33,169,43,126,34.8,1
12,50,10,3,485,0,58.14,-0.843,1.231,168,33,284,114,170,58.6,1
12,50,10,7,485,0,61.44,-0.940,3.953,214,38,233,84,149,48.0,1
12,50,10,14,485,0,63.92,-0.593,9.960,251,43,191,59,132,39.4,1
12,50,15,3,485,0,54.23,-1.092,0.538,121,40,324,142,182,66.8,0
12,50,15,7,485,0,57.32,-1.304,2.140,161,49,275,117,158,56.7,0
12,50,15,14,485,0,58.76,-0.945,3.621,186,55,244,99,145,50.3,0
12,50,20,3,485,0,52.37,-1.167,0.244,94,45,346,160,186,71.3,0
12,50,20,7,485,0,54.64,-1.563,1.269,122,55,308,143,165,63.5,0
12,50,20,14,485,0,55.67,-0.919,2.031,147,62,276,123,153,56.9,0
12,50,30,3,485,0,50.72,-1.006,0.068,53,47,385,193,192,79.4,0
12,50,30,7,485,0,52.16,-1.339,0.547,86,63,336,167,169,69.3,0
12,50,30,14,485,0,53.40,-0.281,0.888,107,71,307,152,155,63.3,0
24,10,3,3,482,3,63.49,-0.306,2.960,268,72,142,38,104,29.5,9
24,10,3,7,482,3,67.22,-0.375,2.960,308,92,82,16,66,17.0,9
24,10,3,14,482,3,68.46,-0.482,2.960,320,104,58,10,48,12.0,9
24,10,5,3,482,3,59.13,0.107,1.714,211,84,187,74,113,38.8,6
24,10,5,7,482,3,61.20,0.056,4.960,260,108,114,35,79,23.7,6
24,10,5,14,482,3,62.03,-0.051,4.960,278,124,80,21,59,16.6,6
24,10,8,3,482,3,54.98,0.576,0.833,166,97,219,99,120,45.4,5
24,10,8,7,482,3,55.81,0.625,1.992,213,127,142,56,86,29.5,5
24,10,8,14,482,3,56.43,0.481,2.825,228,146,108,44,64,22.4,5
24,10,10,3,482,3,52.70,0.742,0.477,144,105,233,110,123,48.3,4
24,10,10,7,482,3,53.32,0.732,0.875,170,137,175,87,88,36.3,4
24,10,10,14,482,3,52.90,0.633,1.318,193,159,130,62,68,27.0,4
24,10,15,3,482,3,48.76,0.829,-0.105,93,122,267,142,125,55.4,2
24,10,15,7,482,3,48.13,0.795,-0.444,120,158,204,112,92,42.3,2
24,10,15,14,482,3,45.85,0.581,-1.413,135,187,160,86,74,33.2,2
24,10,20,3,482,3,46.27,0.729,-0.469,64,132,286,159,127,59.3,0
24,10,20,7,482,3,43.98,0.380,-1.462,80,176,226,132,94,46.9,0
24,10,20,14,482,3,41.08,0.133,-3.240,91,209,182,107,75,37.8,0
24,10,30,3,482,3,43.98,0.696,-0.705,35,143,304,177,127,63.1,0
24,10,30,7,482,3,41.29,0.491,-2.268,50,189,243,149,94,50.4,0
24,10,30,14,482,3,38.38,0.428,-4.754,60,222,200,125,75,41.5,0
24,15,3,3,482,3,67.22,-0.187,2.960,286,43,153,38,115,31.7,4
24,15,3,7,482,3,71.37,-0.275,2.960,328,53,101,16,85,21.0,4
24,15,3,14,482,3,73.24,-0.423,2.960,343,63,76,10,66,15.8,4
24,15,5,3,482,3,62.45,0.120,2.641,227,55,200,74,126,41.5,2
24,15,5,7,482,3,64.73,0.035,4.960,277,67,138,35,103,28.6,2
24,15,5,14,482,3,66.60,-0.035,4.960,299,78,105,22,83,21.8,2
24,15,8,3,482,3,57.68,0.404,1.309,178,71,233,100,133,48.3,2
24,15,8,7,482,3,58.71,0.409,3.381,227,87,168,56,112,34.9,2
24,15,8,14,482,3,60.58,0.345,7.960,246,100,136,46,90,28.2,2
24,15,10,3,482,3,55.60,0.599,0.936,157,77,248,111,137,51.5,2
24,15,10,7,482,3,56.64,0.567,1.992,185,95,202,88,114,41.9,2
24,15,10,14,482,3,57.26,0.543,2.919,212,109,161,64,97,33.4,2
24,15,15,3,482,3,52.28,0.729,0.423,104,91,287,148,139,59.5,1
24,15,15,7,482,3,51.66,0.607,0.315,134,114,234,115,119,48.5,1
24,15,15,14,482,3,50.62,0.575,0.142,154,131,197,90,107,40.9,1
